ID,Disease,Percentage,Category
1,Arthritis(d),13.4,Males
2,Arthritis(d),18.4,Females
3,Arthritis(d),16,Total
4,Asthma,9.5,Males
5,Asthma,12.9,Females
6,Asthma,11.2,Total
7,Back problems (dorsopathies)(e),19.7,Males
8,Back problems (dorsopathies)(e),19.9,Females
9,Back problems (dorsopathies)(e),19.8,Total
10,Cancer (malignant neoplasms),2.9,Males
11,Cancer (malignant neoplasms),1.4,Females
12,Cancer (malignant neoplasms),2.1,Total
13,Chronic obstructive pulmonary disease (COPD)(f),2.9,Males
14,Chronic obstructive pulmonary disease (COPD)(f),1.1,Females
15,Chronic obstructive pulmonary disease (COPD)(f),1.9,Total
16,No selected chronic conditions,50.5,Males
17,No selected chronic conditions,46.8,Females
18,No selected chronic conditions,43.5,Total
19,Has 1 or more selected chronic conditions,49.5,Males
20,Has 1 or more selected chronic conditions,56.5,Females
21,Has 1 or more selected chronic conditions,53.2,Total



